year,agegroup0,agegroup1,agegroup2,agegroup5,agegroup10,agegroup15,
2000,4006248,2999911,3055220,963563.8,521083.7,834041,
2001,3905475,2909446,2949829,934068.4,506831.2,823755.1,
2002,3803251,2769453,2782963,907565.3,494578.2,820270.2,
2003,3702467,2720203,2709297,887607.8,491991.9,820273.6,
2004,3604809,2593200,2566999,885779.6,500060.5,828824.1,
2005,3507881,2503966,2437139,845627.3,476564.4,804094.8,
2006,3417874,2379549,2287729,819918.7,465908.3,790252.6,
2007,3326417,2263423,2152286,796339.5,460996.7,776049,
2008,3239805,2195891,2080338,790101,468068.8,778757.8,
2009,3156289,2130475,1989913,750312.9,445770,748223.2,
2010,3072860,2039899,1891431,744632.2,454185.9,748422.3,
2011,2989087,1974738,1799062,705167.2,430088,722533.9,
2012,2908589,1886181,1697536,690304.8,427272,722568.5,
2013,2830237,1830937,1636553,674111.2,425488.8,718154.7,
2014,2754879,1758034,1554988,662725.3,422299.4,720069,
2015,2680806,1703397,1487754,642208.3,415002.7,713803.8,
2016,2614638,1632564,1409127,625142,406442.7,705175.2,
