Year,Road injury,Interpersonal violence,Self-harm,Drowning,HIV/AIDS,Tuberculosis
2000,24.81491,15.40465,11.32654,8.071383,1.776352,7.227336
2001,24.60715,15.36295,10.94388,7.692232,1.972733,6.926029
2002,24.57009,15.12762,10.50885,7.422422,2.176021,6.593017
2003,24.36426,14.30942,10.17333,7.12977,2.411804,6.289042
2004,24.3332,13.59446,9.967706,6.966559,2.679116,5.990503
2005,24.49329,13.4734,9.655033,6.808494,2.896323,5.803628
2006,24.81148,13.50908,9.462996,6.652787,3.123968,5.58367
2007,25.03485,13.27326,9.315815,6.580279,3.376208,5.421118
2008,25.03248,13.64429,9.251637,6.526474,3.571751,5.24395
2009,24.89419,13.95361,9.082187,6.364213,3.752154,5.092757
2010,25.02619,14.00872,8.844912,6.190629,3.923697,4.990633
2011,25.28791,14.13594,8.801079,6.042299,4.225986,4.878267
2012,25.1755,14.45846,8.786357,6.078373,4.606813,4.79522
2013,25.0866,14.10699,8.59198,6.012463,4.848764,4.704692
2014,25.36673,14.1943,8.564882,5.961607,4.964231,4.709909
2015,25.20026,14.29031,8.577831,5.882197,4.958679,4.553625
2016,25.34118,14.29266,8.372128,5.799833,4.909272,4.407242
