year,nr_deaths,agegroup,notes
2000,856979,5,under five missing
2001,829536,5,
2002,803975,5,
2003,784842,5,
2004,783638,5,
2005,743441,5,
2006,717324,5,
2007,693447,5,
2008,688170,5,
2009,649553,5,
2010,646654,5,
2011,608816,5,
2012,594545,5,
2013,579950,5,
2014,568288,5,
2015,550323,5,
2016,534706,5,
2000,454820,10,
2001,441094,10,
2002,429455,10,
2003,426961,10,
2004,435936,10,
2005,412500,10,
2006,402085,10,
2007,396391,10,
2008,404042,10,
2009,382013,10,
2010,391277,10,
2011,367622,10,
2012,364985,10,
2013,363454,10,
2014,360140,10,
2015,353880,10,
2016,346126,10,
2000,748614,15,
2001,738584,15,
2002,734946,15,
2003,734832,15,
2004,744031,15,
2005,719562,15,
2006,706601,15,
2007,692271,15,
2008,695978,15,
2009,666450,15,
2010,668062,15,
2011,642990,15,
2012,643247,15,
2013,639307,15,
2014,640408,15,
2015,634656,15,
2016,626546,15,
