year,cause,afr_lmic,amr_lmic,emr_lmic,eur_lmic,hi,sear_lmic,wpr_lmic,global
2000,Collective violence and legal intervention,,,10.25217,,,,,
2000,Diarrhoeal diseases,33.0436,,,,,,,
2000,Drowning,,10.75519,7.874532,13.94909,2.902655,7.48146,8.128336,8.071383
2000,Drug use disorders,,,,5.85316,,,,
2000,Interpersonal violence,29.79338,63.45704,13.11611,12.6455,6.329736,7.792864,4.71881,15.40465
2000,Leukaemia,,,,,1.898609,,3.859953,
2000,Lower respiratory infections,,3.907413,,,,,,
2000,Meningitis,18.40427,,,,,,,
2000,Road injury,40.06924,22.07472,28.98141,19.86224,27.41715,19.56844,22.37762,24.81491
2000,Self-harm,,8.930215,7.100853,28.56883,10.5379,16.33933,5.22051,11.32654
2000,Tuberculosis,24.9168,,,,,10.71356,,7.227336
2001,Collective violence and legal intervention,,,5.187522,,,,,
2001,Congenital anomalies,,,,,1.90014,,,
2001,Diarrhoeal diseases,32.49869,,,,,,,
2001,Drowning,,10.43636,7.702437,12.53047,3.061745,7.304423,7.247486,7.692232
2001,Drug use disorders,,,,5.039163,,,,
2001,Interpersonal violence,29.60863,65.65176,13.14713,12.07021,6.358824,7.55112,4.529306,15.36295
2001,Leukaemia,,,,,,,3.704163,
2001,Lower respiratory infections,,3.850124,,,,,,
2001,Meningitis,18.41437,,,,,,,
2001,Road injury,40.11729,22.52193,28.5868,19.42473,26.52682,19.71679,21.76389,24.60715
2001,Self-harm,,9.562965,7.030097,27.17053,10.21996,16.10553,4.417874,10.94388
2001,Tuberculosis,24.11992,,,,,10.325,,6.926029
2002,Diarrhoeal diseases,31.51457,,,,,,,
2002,Drowning,,11.10533,7.507905,11.41351,2.680381,7.228916,6.62184,7.422422
2002,Drug use disorders,,,,4.287576,1.8995,,,
2002,Interpersonal violence,28.94834,68.19567,12.75574,11.57734,6.279719,7.30437,4.056839,15.12762
2002,Leukaemia,,,,,,,3.599382,
2002,Lower respiratory infections,,3.668588,4.73705,,,,,
2002,Meningitis,17.95378,,,,,,,
2002,Road injury,40.76492,23.30043,28.51516,19.18379,25.92027,20.10692,20.9146,24.57009
2002,Self-harm,,9.340518,6.95373,25.98993,9.760124,15.8592,3.898869,10.50885
2002,Tuberculosis,23.27323,,,,,9.831678,,6.593017
2003,Collective violence and legal intervention,,,14.49914,,,,,
2003,Diarrhoeal diseases,30.95322,,,,,,,
2003,Drowning,,9.817433,7.33633,10.56543,2.510936,7.285854,6.189342,7.12977
2003,Drug use disorders,,,,3.863061,1.997386,,,
2003,Interpersonal violence,28.12186,63.83841,12.46436,10.63624,6.357332,6.935777,3.786058,14.30942
2003,Leukaemia,,,,,,,3.586378,
2003,Lower respiratory infections,,3.735082,,,,,,
2003,Meningitis,18.0038,,,,,,,
2003,Road injury,41.35236,22.24132,29.53181,19.58362,24.42954,20.55969,19.92415,24.36426
2003,Self-harm,,9.226438,6.704475,24.82591,9.542617,15.58927,3.683419,10.17333
2003,Tuberculosis,22.53511,,,,,9.297978,,6.289042
2004,Collective violence and legal intervention,,,14.00056,,,,,
2004,Diarrhoeal diseases,29.83689,,,,,,,
2004,Drowning,,9.598762,7.348298,9.623837,2.483719,7.264579,6.013834,6.966559
2004,Drug use disorders,,,,,2.080633,,,
2004,Falls,,,,3.529284,,,,
2004,HIV/AIDS,18.19861,,,,,,,
2004,Interpersonal violence,27.47081,58.84401,12.41074,9.691706,6.215107,,3.56648,13.59446
2004,Leukaemia,,,,,,,3.537217,
2004,Lower respiratory infections,,3.706875,,,,,,
2004,Natural disasters,,,,,,13.43505,,
2004,Road injury,41.6091,22.64926,29.30514,19.16229,23.27407,21.64692,19.01441,24.3332
2004,Self-harm,,9.323549,6.769289,23.74669,9.89497,15.23469,3.614974,9.967706
2004,Tuberculosis,21.7996,,,,,8.792195,,5.990503
2005,Collective violence and legal intervention,,,13.02329,,,,,
2005,Diarrhoeal diseases,28.3323,,,,,,,
2005,Drowning,,9.509683,7.175311,9.467463,2.427712,7.223013,5.784156,6.808494
2005,Drug use disorders,,,,,2.221027,,,
2005,Falls,,,,3.399894,,,,
2005,HIV/AIDS,19.70633,,,,,,,
2005,Interpersonal violence,27.05986,58.52393,12.34198,8.932351,6.818964,6.684567,3.489496,13.4734
2005,Leukaemia,,3.52133,,,,,3.397384,
2005,Natural disasters,,,13.37421,,,,,
2005,Road injury,41.71674,22.85372,29.09162,19.80378,22.43507,22.38055,18.90989,24.49329
2005,Self-harm,,8.965656,,23.35967,9.55264,14.81379,3.456311,9.655033
2005,Tuberculosis,21.47161,,,,,8.269011,,5.803628
2006,Collective violence and legal intervention,,,22.20646,,,,,
2006,Diarrhoeal diseases,27.11847,,,,,,,
2006,Drowning,,9.178452,7.049258,8.871929,2.411987,7.248535,5.531868,6.652787
2006,Drug use disorders,,,,,2.322609,,,
2006,Falls,,,,3.315082,,,,
2006,HIV/AIDS,21.08639,,,,,,,
2006,Interpersonal violence,26.72826,59.34988,12.40744,7.961914,7.257871,6.594213,3.378126,13.50908
2006,Leukaemia,,,,,,,3.307849,
2006,Lower respiratory infections,,3.563879,,,,,,
2006,Road injury,41.59117,24.30547,29.35147,20.40231,22.03402,23.08938,18.70472,24.81148
2006,Self-harm,,8.955816,6.66693,22.86925,9.38771,14.48791,3.337564,9.462996
2006,Tuberculosis,20.64951,,,,,7.765925,,5.58367
2007,Collective violence and legal intervention,,,20.29485,,,,,
2007,Diarrhoeal diseases,26.05334,,,,,,,
2007,Drowning,,8.943809,6.979418,8.401597,2.514984,7.26275,5.473286,6.580279
2007,Drug use disorders,,,,,2.354744,,,
2007,Falls,,,,3.077575,,,,
2007,HIV/AIDS,22.39338,,,,,,,
2007,Interpersonal violence,26.20748,57.24117,12.40591,7.047944,7.045955,6.375839,3.44993,13.27326
2007,Leukaemia,,3.503145,,,,,3.153842,
2007,Road injury,41.19826,25.22567,28.46396,21.84721,21.45454,23.8352,18.57026,25.03485
2007,Self-harm,,8.995735,6.817453,22.07009,9.069899,14.14682,3.31331,9.315815
2007,Tuberculosis,20.12484,,,,,7.2229,,5.421118
2008,Collective violence and legal intervention,,,12.36618,,,,,
2008,Diarrhoeal diseases,25.29917,,,,,,,
2008,Drowning,,9.055917,6.772967,8.011875,2.368846,7.245417,5.493696,6.526474
2008,Drug use disorders,,,,,2.338566,,,
2008,Falls,,,,3.053196,,,,
2008,HIV/AIDS,23.13937,,,,,,,
2008,Interpersonal violence,25.86633,61.55005,12.78524,6.365254,6.759375,,3.353641,13.64429
2008,Leukaemia,,3.317909,,,,,,
2008,Natural disasters,,,,,,7.231467,6.18996,
2008,Road injury,41.46549,27.10918,28.56358,19.31978,18.99996,24.68249,17.88935,25.03248
2008,Self-harm,,9.256552,6.61153,21.52573,9.574172,13.75155,3.210496,9.251637
2008,Tuberculosis,18.94756,,,,,6.813845,,5.24395
2009,Collective violence and legal intervention,,,11.92114,,,,,
2009,Diarrhoeal diseases,24.41468,,,,,,,
2009,Drowning,,8.853457,6.295297,7.02698,2.347985,7.192869,5.380148,6.364213
2009,Drug use disorders,,,,,2.287363,,,
2009,HIV/AIDS,23.58944,,,,,,,
2009,Interpersonal violence,25.32228,66.01384,12.75114,5.593359,6.307038,5.929561,3.266469,13.95361
2009,Leukaemia,,,,,,,2.995874,
2009,Lower respiratory infections,,3.625856,,3.036891,,,,
2009,Road injury,41.81248,26.33625,28.38751,16.82315,16.65604,25.5392,17.42622,24.89419
2009,Self-harm,,9.285536,6.061001,19.45688,9.884312,13.42257,3.20177,9.082187
2009,Tuberculosis,18.14954,,,,,6.338117,,5.092757
2010,Collective violence and legal intervention,,,11.50159,,,,,
2010,Diarrhoeal diseases,23.6274,,,,,,,
2010,Drowning,,8.021803,5.733142,6.787256,2.327379,7.140742,5.29807,6.190629
2010,Drug use disorders,,,,,2.234082,,,
2010,HIV/AIDS,23.95797,,,,,,,
2010,Interpersonal violence,24.69579,66.99965,12.81579,5.004148,6.029232,5.790108,3.182443,14.00872
2010,Leukaemia,,,,,,,2.902547,
2010,Lower respiratory infections,,,,2.972198,,,,
2010,Natural disasters,,35.86121,,,,,,
2010,Road injury,42.00492,26.78852,28.33689,15.34603,15.08894,26.45656,17.01141,25.02619
2010,Self-harm,,9.306722,5.424564,18.41557,9.534279,13.03557,3.095858,8.844912
2010,Tuberculosis,17.55371,,,,,5.885126,,4.990633
2011,Collective violence and legal intervention,,,13.82668,,,,,
2011,Diarrhoeal diseases,22.75329,,,,,,,
2011,Drowning,,7.948408,5.42654,6.145048,1.923812,7.1338,5.175438,6.042299
2011,Drug use disorders,,,,,2.193248,,,
2011,Exposure to mechanical forces,,,,2.790954,,,,
2011,HIV/AIDS,25.10104,,,,,,,
2011,Interpersonal violence,24.35357,68.11409,12.88943,4.827275,5.63995,5.731369,3.090531,14.13594
2011,Leukaemia,,3.493407,,,,,2.822408,
2011,Road injury,41.61034,27.8891,27.4486,15.6639,14.58626,26.97756,17.17206,25.28791
2011,Self-harm,,9.760549,5.037563,17.5941,9.935187,12.79009,3.03617,8.801079
2011,Tuberculosis,17.16572,,,,,5.478899,,4.878267
2012,Collective violence and legal intervention,,,28.14464,,,,,
2012,Diarrhoeal diseases,22.05856,,,,,,,
2012,Drowning,,8.247938,5.451253,6.011078,1.930097,7.143033,5.216517,6.078373
2012,Drug use disorders,,,,,2.05359,,,
2012,Exposure to mechanical forces,,,,2.78109,,,,
2012,HIV/AIDS,26.5942,,,,,,,
2012,Interpersonal violence,24.0315,71.13742,12.80657,4.484223,5.542796,5.574811,3.247734,14.45846
2012,Leukaemia,,3.390845,,,,,2.703921,
2012,Road injury,41.49451,29.84527,25.74525,15.24472,13.67176,26.95549,16.43756,25.1755
2012,Self-harm,,10.44447,5.07385,17.17606,9.77049,12.56566,3.013163,8.786357
2012,Tuberculosis,16.87202,,,,,5.07955,,4.79522
2013,Collective violence and legal intervention,,,35.31516,,,,,
2013,Diarrhoeal diseases,21.43729,,,,,,,
2013,Drowning,,7.695262,5.561496,5.584331,2.08007,7.035316,5.244665,6.012463
2013,Drug use disorders,,,,,2.019966,,,
2013,HIV/AIDS,27.18185,,,,,,,4.848764
2013,Interpersonal violence,23.64362,67.86658,12.84542,4.129712,5.008843,5.413779,3.171167,14.10699
2013,Leukaemia,,,,,,,2.582927,
2013,Lower respiratory infections,,3.456159,,2.820021,,,,
2013,Road injury,41.51037,29.44655,25.78312,15.38514,12.28149,26.96396,16.02078,25.0866
2013,Self-harm,,9.691332,5.152935,16.15789,9.465579,12.27669,3.029797,8.59198
2013,Tuberculosis,16.49952,,,,,4.736006,,
2014,Collective violence and legal intervention,,,47.23603,,,,,5.694502
2014,Diarrhoeal diseases,20.72267,,,,,,,
2014,Drowning,,7.997265,5.380958,5.635647,1.869182,6.885389,5.30047,5.961607
2014,Drug use disorders,,,,,2.0136,,,
2014,Exposure to mechanical forces,,,,2.856423,,,,
2014,HIV/AIDS,27.04471,,,,,,,
2014,Interpersonal violence,23.32696,68.68168,12.71388,3.996531,4.954214,5.298909,3.22024,14.1943
2014,Leukaemia,,,,,,,2.488295,
2014,Lower respiratory infections,,3.451249,,,,,,
2014,Road injury,41.64729,30.96422,25.43023,15.55374,12.33546,27.15242,15.57552,25.36673
2014,Self-harm,,9.887632,5.063525,15.73678,9.75373,12.04404,3.064408,8.564882
2014,Tuberculosis,16.69473,,,,,4.399529,,
2015,Collective violence and legal intervention,,,43.91822,,,,,5.128312
2015,Diarrhoeal diseases,20.04555,,,,,,,
2015,Drowning,,8.020808,5.183791,5.268982,1.848684,6.783806,5.254685,5.882197
2015,Drug use disorders,,,,,2.018282,,,
2015,HIV/AIDS,26.22209,,,,,,,
2015,Interpersonal violence,23.05373,68.41246,12.5791,3.880735,5.917871,5.220727,3.19996,14.29031
2015,Leukaemia,,3.677255,,,,,2.489715,
2015,Lower respiratory infections,,,,2.485641,,,,
2015,Road injury,41.41641,29.81372,25.16424,14.58622,12.44489,26.89769,15.3039,25.20026
2015,Self-harm,,10.64945,4.958512,14.64128,10.4482,11.81203,3.019203,8.577831
2015,Tuberculosis,15.92104,,,,,4.104594,,
2016,Collective violence and legal intervention,,,38.88689,,,,,
2016,Diarrhoeal diseases,19.33981,,,,,,,
2016,Drowning,,8.079762,5.245664,5.026404,1.989962,6.594646,5.115404,5.799833
2016,Drug use disorders,,,,,1.873986,,,
2016,HIV/AIDS,25.28661,,,,,,,4.909272
2016,Interpersonal violence,22.79819,68.46033,12.58389,3.843072,6.097344,5.120996,3.149622,14.29266
2016,Leukaemia,,3.63705,,,,,2.512214,
2016,Lower respiratory infections,,,,2.426612,,,,
2016,Meningitis,15.58608,,,,,,,
